(2019-04-26 09:01:57 周五) 	 串口接收数据: "06"
(2019-04-26 09:01:57 周五) 	 串口发送 "\u0002PL20\u0003\u001D"
(2019-04-26 09:01:57 周五) 	 串口接收数据: "06"
(2019-04-26 09:01:57 周五) 	 串口发送 "\u0002PK100\u0003)"
(2019-04-26 09:01:57 周五) 	 串口接收数据: "06"
(2019-04-26 09:01:57 周五) 	 串口发送 "\u0002PI0\u0003*"
(2019-04-26 09:01:57 周五) 	 串口接收数据: "06"
(2019-04-26 09:02:03 周五) 	 ===开始===
(2019-04-26 09:02:03 周五) 	 softdog_login: 0
(2019-04-26 09:02:03 周五) 	 read_dog: 0
(2019-04-26 09:02:05 周五) 	 机器人发送数据: "Go,1"
(2019-04-26 09:02:13 周五) 	 机器人接收数据： "recv"
(2019-04-26 09:02:13 周五) 	 机器人收到信息
(2019-04-26 09:07:41 周五) 	 softdog_login: 0
(2019-04-26 09:07:41 周五) 	 read_dog: 0
(2019-04-26 09:07:44 周五) 	 QMetaObject::connectSlotsByName: No matching signal for on_comboBox_activated(QString)
(2019-04-26 09:07:44 周五) 	 本机ip: "192.168.101.46"
(2019-04-26 09:07:44 周五) 	 softdog_login: 0
(2019-04-26 09:07:44 周五) 	 本机Mac地址： "74:70:FD:50:0E:ED"
(2019-04-26 09:07:44 周五) 	 本机Mac地址： "00:FF:06:E8:4C:96"
(2019-04-26 09:07:44 周五) 	 本机Mac地址： "74:70:FD:50:0E:EC"
(2019-04-26 09:07:44 周五) 	 本机Mac地址： ""
(2019-04-26 09:07:46 周五) 	 串口发送 "\u0002PH0\u0003+"
(2019-04-26 09:07:47 周五) 	 串口接收数据: "06"
(2019-04-26 09:07:47 周五) 	 串口发送 "\u0002PJ10\u0003\u0018"
(2019-04-26 09:07:47 周五) 	 串口接收数据: "06"
(2019-04-26 09:07:47 周五) 	 串口发送 "\u0002PG0\u0003$"
(2019-04-26 09:07:47 周五) 	 串口接收数据: "06"
(2019-04-26 09:07:47 周五) 	 串口发送 "\u0002PL20\u0003\u001D"
(2019-04-26 09:07:47 周五) 	 串口接收数据: "06"
(2019-04-26 09:07:47 周五) 	 串口发送 "\u0002PK100\u0003)"
(2019-04-26 09:07:47 周五) 	 串口接收数据: "06"
(2019-04-26 09:07:47 周五) 	 串口发送 "\u0002PI0\u0003*"
(2019-04-26 09:07:47 周五) 	 串口接收数据: "06"
(2019-04-26 09:07:56 周五) 	 ===开始===
(2019-04-26 09:07:56 周五) 	 softdog_login: 0
(2019-04-26 09:07:56 周五) 	 read_dog: 0
(2019-04-26 09:08:04 周五) 	 机器人发送数据: "Go,1"
(2019-04-26 09:08:18 周五) 	 机器人接收数据： "recv"
(2019-04-26 09:08:18 周五) 	 机器人收到信息
(2019-04-26 09:08:29 周五) 	 机器人接收数据： "inpos"
(2019-04-26 09:08:29 周五) 	 机器人到位
